SurveyId,Region,SurveyDate,SurveyAreaLatitudeStart,SurveyAreaLongitudeStart,Rubbish_Count,count_same,date average,Current_Speed,Current_Direction,Water_Temperature
62,Northland,07/24/2022,-42.00537619207014,173.53544914813259,88,112,4.125536657113299,0.4814341023336183,322.99767286319764,15.372908629538856
63,Wellington,01/14/2022,-37.41769082404075,170.44032173593507,106,112,1.8152960609754527,0.38936650259939715,324.150500578799,13.676427070463223
64,Northland,05/12/2018,-35.10169355830162,172.98442441728292,108,112,0.17114055410264561,0.38037933759193293,227.91652461837646,16.704866669592448
65,Wellington,08/08/2018,-34.536868703698,171.98154906678644,101,112,4.153272532826248,0.5812525822394198,122.05072477753224,13.4149585231346
66,Northland,02/02/2021,-46.247769329149804,173.601959377339,99,112,1.725960724406378,0.6356240028570823,125.71544686055792,14.770527117066202
67,Wellington,09/21/2019,-41.87121661809431,171.20390635583365,100,112,3.8691726160067015,0.49279898784196663,261.3440443932862,16.009974557960913
68,Gisborne,10/23/2022,-45.6121711428335,175.0696784580601,100,112,1.8137894733297273,0.6003532897892024,322.95969358292774,16.731510388340244
69,Wellington,12/28/2019,-42.63641915763948,168.34087454054088,108,112,4.305340099873608,0.5361636025047635,319.35111273544226,12.599407185888447
70,Wellington,09/08/2020,-44.79416124935765,175.05451906095203,103,112,1.0975526254047936,0.4354880245394876,280.7551965087446,14.330997528318104
71,Gisborne,01/10/2023,-38.59097129830659,171.35159578664786,107,112,4.8727363259943495,0.5361395605508414,231.1313926155436,14.050109377678087
72,Wellington,11/18/2019,-41.95251100813166,177.36612886310743,95,112,3.898793873940154,0.6538036566465969,30.29038739821758,13.693341534852577
73,Gisborne,12/23/2023,-44.017868305835655,172.69806871323473,98,112,0.5711896296019842,0.49641739608900487,58.18633707406096,18.530908480562193
74,Wellington,07/10/2018,-43.54280697546489,178.65043454051136,103,112,2.8288830998328023,0.6564643655814006,323.47950786974855,15.80996342192191
75,Northland,01/02/2020,-42.31551376233151,173.82516014203247,87,112,4.926836561208673,0.23802548959102554,218.31446147745237,12.47823209132991
76,Northland,03/24/2023,-43.62065178289458,168.91003785678217,92,112,2.355327263469072,0.5821902504375224,3.3109385819866732,16.835723894109552
77,Wellington,07/15/2022,-41.107868991225196,176.68327827897784,103,112,0.9105356941079162,0.5087047068238172,36.529755431771555,19.244312394025265
78,Wellington,09/07/2023,-46.579892635574545,170.48607416169102,117,112,2.4238918357517307,0.4700992649534132,238.8606368789001,17.064930521102294
79,Wellington,03/23/2022,-43.363074406803705,170.51904978827488,108,112,2.562288279409608,0.5091760776535502,1.8221701846387273,11.961260068091974
80,Northland,10/20/2019,-41.65431262866158,166.41346085930715,81,112,3.7084347211433277,0.3012431085399107,57.890898510299515,14.031531854267497
81,Wellington,01/29/2019,-39.16383553369712,173.13329901969632,85,112,3.494229265804522,0.4780328112162488,197.544164171971,17.533822298373245
82,Northland,07/22/2021,-43.47755064730331,172.9475055485228,116,112,2.0127502179849026,0.5357112571511746,249.08227116936956,13.584661068762438
83,Gisborne,09/19/2018,-45.26859337209125,170.62788929553582,92,112,1.0901155374704325,0.6477894044741516,234.7060534209362,15.887638856292456
84,Northland,05/19/2022,-46.00939506521088,177.62482441764703,90,112,3.2252708388466473,0.44817297817263524,80.73695140580152,16.549268106858673
85,Northland,04/23/2022,-34.773086247240016,167.67372917789538,95,112,2.108519672766409,0.4191506397106812,256.38451968511293,13.146139056843834
86,Gisborne,03/14/2020,-41.58369224939977,170.29129367303202,91,112,0.661381055626652,0.44982429564154636,85.40967149884803,14.8809492878764
87,Northland,01/13/2018,-39.444885924649256,170.18057594084038,96,112,4.502861506181929,0.5915402117702074,117.14389133733638,8.517465319861856
88,Wellington,06/22/2023,-35.050704826137725,167.1997776209737,91,112,3.456109288048272,0.5328751109659684,268.7369058424887,12.95122471733142
89,Wellington,03/19/2022,-45.92427053954102,172.2548901227318,103,112,3.415919282227407,0.4470239796232961,233.86784365699728,14.49486369721368
90,Northland,10/25/2019,-35.6034006829647,174.94120132224907,97,112,4.112919379558369,0.5513267433113356,305.72042777790404,12.504433636070301
91,Wellington,06/13/2019,-39.82935765692709,172.6515411761144,118,112,2.6483083932754052,0.509707754934804,236.74064122812362,18.26482260786327
92,Northland,07/30/2024,-44.85715460521899,168.0407098753105,99,112,4.0752721420122855,0.596864499053289,204.59109720076978,12.139717244078735
93,Wellington,02/17/2018,-41.6536834843902,170.90471754814695,102,112,2.490453767555029,0.4297946906122648,33.72291641811329,14.119911026606033
94,Wellington,01/02/2019,-36.89117031144207,166.03373531698742,116,112,0.33587699957855044,0.4672337853402232,132.37768910139607,15.261481154572182
95,Northland,08/10/2019,-40.75518893573739,177.28791439146264,102,112,2.0262404401384435,0.46078918468678426,95.47285236542116,17.88254657813223
96,Wellington,09/09/2019,-34.19128134134844,167.09872109984886,109,112,2.4873244698994528,0.35364850518678814,87.83627161647009,12.128275697641122
97,Northland,11/17/2019,-42.10239339080677,173.7646150693206,91,112,3.601012908161479,0.5296120277064577,350.28379971088043,17.32632750430992
98,Wellington,09/23/2018,-37.25548210031106,178.8213409462686,100,112,0.5328936506433718,0.526105527217989,141.51518088003374,15.020466122039174
99,Wellington,10/18/2019,-41.891137163274834,172.9756783978353,99,112,0.700092693302245,0.500511345664246,321.1367598637608,13.036982697904097
100,Gisborne,11/16/2020,-36.22086513081531,178.01254286839662,112,112,1.3184190131730822,0.47654128666248524,227.20990535901464,15.92420694852654
